cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24
1400200000000,25250,7487,15866,1893,1728,2874
1400200010000,11110,2899,7299,908,580,1333
1400200010030,3574,870,2299,405,171,426
1400200010064,4853,1281,3179,389,245,557
1400200010079,1079,292,736,51,61,143
1400200010083,143,27,98,18,12,22
1400200010098,50,9,34,7,4,4
1400200010115,268,80,183,5,15,43
140020001012A,927,277,622,28,56,112
1400200010134,4,*,*,*,*,*
1400200010168,16,3,13,0,*,4
1400200010191,68,23,44,*,3,8
1400200010280,99,29,66,4,8,9
1400200010295,2,*,*,*,*,*
1400200010308,18,7,11,0,*,*
1400200010312,9,*,*,*,*,*
1400200020000,7802,2157,5064,581,429,942
1400200020045,4496,1156,2938,402,241,553
140020002005A,1139,268,763,108,67,111
1400200020100,1199,390,755,54,65,160
1400200020149,32,15,17,0,*,*
1400200020153,338,110,220,8,19,44
1400200020172,0,0,0,0,0,0
1400200020204,231,90,140,*,6,27
1400200020219,21,4,17,0,*,*
1400200020223,78,26,48,4,5,7
1400200020238,56,17,35,4,*,13
1400200020242,4,*,*,*,*,*
1400200020257,65,26,39,0,4,9
1400200020261,96,39,57,0,12,10
1400200020276,8,*,*,*,*,*
1400200020327,39,11,28,0,5,4
1400200020331,0,0,0,0,0,0
1400200040000,3039,836,1943,260,156,389
1400200040187,3039,836,1943,260,156,389
1403900000000,1385629,272081,940751,168417,61120,162854
1403900010000,1385621,272078,940746,168417,61120,162852
1403900010026,1433,144,1052,237,41,207
1403900010030,3440,484,2401,553,70,328
140390001005A,1538,170,1016,352,55,140
1403900010064,2647,293,1829,525,93,293
1403900010083,5123,920,3458,745,214,561
1403900010115,3304,419,2248,637,106,369
1403900010134,3236,565,2179,491,135,354
1403900010149,3170,360,2113,697,113,320
1403900010153,3944,550,2680,714,153,425
1403900010191,2777,535,1901,341,153,322
1403900010204,2702,614,1818,270,123,355
1403900010223,2945,666,1966,313,131,355
1403900010238,4875,1136,3255,484,229,629
1403900010261,5440,1373,3533,534,268,676
1403900010276,7097,1757,4710,630,352,859
1403900010280,2440,251,1819,370,72,286
1403900010295,2694,321,1765,608,73,233
1403900010308,497,63,348,86,12,66
1403900010312,2380,343,1657,380,79,255
1403900010327,1331,159,872,300,35,126
1403900010346,3132,507,2149,476,113,326
1403900010350,3820,674,2633,513,143,389
1403900010365,2444,313,1609,522,73,271
140390001037A,1895,214,1263,418,59,187
1403900010384,2419,330,1628,461,82,252
1403900010399,3486,453,2431,602,101,420
1403900010401,2118,300,1423,395,82,235
1403900010416,1597,187,1110,300,58,159
1403900010435,7566,1299,5130,1137,328,854
140390001044A,7371,1489,4923,959,380,889
1403900010454,7289,1401,4907,981,310,854
1403900010469,6148,1119,4235,794,274,801
1403900010473,5848,1162,3921,765,274,681
1403900010492,5650,1263,3770,617,259,681
1403900010505,5858,1143,4152,559,259,749
140390001051A,7354,1511,4913,926,340,853
1403900010524,5163,1112,3420,630,267,570
1403900010539,4087,844,2744,499,193,492
1403900010543,3991,912,2629,450,197,482
1403900010562,4180,291,1684,306,63,362
1403900010577,1432,107,1083,242,43,190
1403900010596,1774,163,1262,349,53,187
1403900010609,1844,172,1317,355,43,208
1403900010613,1648,155,1207,286,42,270
1403900010632,3396,467,2357,570,120,311
1403900010647,3054,514,2101,439,109,340
1403900010651,3971,704,2740,524,177,456
1403900010666,5070,860,3552,658,179,638
1403900010670,689,95,538,56,18,100
1403900010685,1913,207,1339,367,67,210
140390001069A,1975,277,1401,297,47,242
1403900010702,1836,286,1251,299,68,187
1403900010717,2799,429,1908,462,96,314
1403900010721,2864,479,2029,356,113,389
1403900010736,2327,333,1612,382,84,269
1403900010740,2571,302,1794,475,66,319
1403900010755,2956,309,2086,561,93,450
1403900010774,3189,554,2204,428,126,364
1403900010789,4767,860,3293,614,205,568
1403900010793,5805,1212,3859,732,243,672
1403900010806,5315,1040,3558,710,231,628
1403900010810,5299,1088,3588,623,233,650
1403900010825,3680,698,2637,345,176,485
140390001083A,5450,1101,3825,524,262,656
1403900010844,3105,628,2101,376,155,354
1403900010859,4308,927,2874,507,192,533
1403900010863,4771,1044,3211,516,244,601
1403900010878,3822,870,2554,398,228,465
1403900010882,4771,1000,3241,530,241,616
1403900010897,7285,1691,4875,719,365,918
140390001090A,6708,1716,4385,607,338,810
1403900010929,2565,217,1858,490,43,356
1403900010933,2127,185,1465,477,63,235
1403900010948,959,108,632,219,23,93
1403900010952,3251,475,2255,521,109,381
1403900010967,3438,607,2356,475,130,339
1403900010971,2335,367,1651,316,88,220
1403900010986,2000,297,1396,307,64,215
1403900010990,2212,379,1548,285,69,268
1403900011005,1664,260,1172,232,57,203
140390001101A,1340,208,933,199,61,151
1403900011024,2230,414,1533,283,82,307
1403900011039,2707,528,1872,307,108,369
1403900011043,2187,262,1513,412,77,249
1403900011062,1023,78,658,287,20,89
1403900011077,847,85,555,207,21,89
